run=1/8 total=1500000 archive=512 best_fit=432.750 best_proxy=1000 best_strict=289
run=2/8 total=3000000 archive=512 best_fit=426.710 best_proxy=1000 best_strict=285
run=3/8 total=4500000 archive=512 best_fit=426.700 best_proxy=1000 best_strict=281
run=4/8 total=6000000 archive=512 best_fit=426.700 best_proxy=1000 best_strict=281
run=5/8 total=7500000 archive=512 best_fit=426.700 best_proxy=1000 best_strict=281
run=6/8 total=9000000 archive=512 best_fit=426.670 best_proxy=1000 best_strict=281
run=7/8 total=10500000 archive=512 best_fit=426.670 best_proxy=1000 best_strict=281
run=8/8 total=12000000 archive=512 best_fit=426.670 best_proxy=1000 best_strict=281
complete seeds=12 archive=512 best_fit=426.670 best_proxy=1000 best_strict=281
