line,xor,or_lower_bound,heavy_or_lower_bound,target_or
3354,60,49,41,41
3356,60,49,41,41
3359,59,51,44,44
5382,59,51,44,44
6686,59,51,44,44
7991,59,51,44,44
8738,59,51,44,44
8889,59,51,44,44
9404,59,51,44,44
11141,59,51,44,44
15307,60,49,41,41
15309,60,49,41,41
15311,60,49,41,41
15340,60,49,41,41
15342,60,49,41,41
15345,60,49,41,41
15369,60,49,41,41
15370,60,49,41,41
15371,60,49,41,41
15404,59,51,41,44
15644,59,52,43,44
15652,59,52,43,44
15767,59,51,44,44
15827,59,51,44,44
15897,59,51,44,44
16169,59,51,44,44
16172,59,51,44,44
16359,59,51,44,44
16362,59,51,44,44
16380,59,51,44,44
16463,59,51,44,44
17408,59,51,44,44
17411,59,51,44,44
17481,59,51,44,44
19195,59,51,44,44
19197,59,51,44,44
19322,58,53,47,47
19864,59,51,44,44
20984,58,53,47,47
21292,59,51,44,44
21295,59,51,44,44
21359,59,51,44,44
22214,58,53,47,47
26235,59,52,44,44
28436,59,52,44,44
30139,59,52,44,44
30985,59,52,44,44
32118,59,51,44,44
32119,59,51,44,44
32218,59,51,44,44
32298,59,51,44,44
32851,58,53,47,47
33212,58,53,47,47
34062,59,51,44,44
35271,59,51,44,44
35273,59,51,44,44
35408,58,53,47,47
35755,59,51,44,44
35761,59,51,44,44
36099,58,53,47,47
36292,59,51,44,44
37782,58,53,47,47
38636,59,51,44,44
39172,59,51,44,44
39176,59,51,44,44
39311,58,53,47,47
40163,59,51,44,44
40457,59,51,44,44
40489,58,53,47,47
40993,59,51,44,44
41571,59,52,44,44
41900,59,51,44,44
43012,59,51,44,44
47160,59,51,44,44
47268,59,52,44,44
47851,59,51,44,44
67844,60,49,41,41
67848,60,49,41,41
67853,60,49,41,41
67858,60,49,41,41
67862,59,51,41,44
67865,59,51,41,44
67872,60,49,41,41
67925,60,51,41,41
67933,60,51,41,41
67938,60,50,41,41
67950,60,51,41,41
67954,60,51,41,41
67959,60,51,41,41
67960,60,50,41,41
67965,60,51,41,41
67967,60,50,41,41
67970,60,49,41,41
67975,59,51,41,44
67980,59,51,41,44
68049,59,51,41,44
68069,60,49,41,41
68079,60,49,41,41
68095,60,49,41,41
68099,60,49,41,41
68102,60,49,41,41
68106,60,49,41,41
68125,59,51,41,44
68139,59,51,41,44
68140,59,51,41,44
68296,60,51,41,41
68356,59,51,41,44
68492,60,51,41,41
68720,59,52,43,44
68723,59,53,43,44
68762,59,52,43,44
68793,59,52,43,44
68796,59,53,43,44
68889,59,52,43,44
68920,59,52,43,44
68923,59,52,43,44
69082,59,53,43,44
69160,59,52,43,44
69166,59,52,43,44
69264,59,53,43,44
69454,59,52,43,44
69460,59,53,43,44
69545,59,52,43,44
69642,59,52,43,44
69645,59,52,43,44
69707,59,53,43,44
70774,58,54,46,47
70790,59,53,44,44
70860,59,52,44,44
70878,59,51,44,44
70931,58,53,44,47
70941,59,51,44,44
70942,59,51,44,44
70954,59,51,44,44
71138,59,51,44,44
71140,59,51,44,44
