line,xor,or_lower_bound,heavy_or_lower_bound,target_or
71271,59,52,44,44
71344,59,51,44,44
71396,59,51,44,44
71410,59,51,44,44
71523,59,51,44,44
72000,59,53,44,44
72001,59,52,44,44
72060,59,52,44,44
72256,59,51,44,44
72477,59,51,44,44
72510,59,51,44,44
72512,59,51,44,44
72515,58,53,44,47
72562,59,51,44,44
72567,59,51,44,44
72598,59,51,44,44
73493,59,53,44,44
73497,59,52,44,44
73529,59,52,44,44
73818,58,53,44,47
73867,59,51,44,44
73899,58,54,46,47
75225,58,54,46,47
77366,58,54,46,47
78126,59,53,44,44
78128,59,52,44,44
78191,59,52,44,44
78327,59,51,44,44
78331,59,51,44,44
78342,59,51,44,44
78343,59,51,44,44
78344,59,51,44,44
78404,59,51,44,44
78633,59,51,44,44
78635,59,51,44,44
78653,59,51,44,44
78655,59,51,44,44
78656,59,51,44,44
78677,59,51,44,44
78902,58,53,44,47
83073,59,51,44,44
83075,59,51,44,44
83152,59,51,44,44
83203,59,51,44,44
83206,59,51,44,44
83209,59,51,44,44
85712,58,53,47,47
85743,58,53,47,47
85814,58,53,47,47
85979,59,53,44,44
85981,59,52,44,44
86042,59,52,44,44
86280,58,53,47,47
87300,58,54,47,47
88147,58,54,46,47
88887,58,53,44,47
90906,58,53,47,47
91847,58,53,47,47
91879,58,53,47,47
92478,58,53,47,47
93971,58,54,47,47
95592,58,53,47,47
95593,58,53,47,47
95618,58,53,47,47
95754,58,53,47,47
100062,59,52,44,44
100063,58,53,44,47
100377,59,51,44,44
100422,59,53,44,44
100452,59,52,44,44
100611,59,51,44,44
100881,60,49,41,41
100979,60,49,41,41
102532,58,54,47,47
103261,58,54,46,47
104286,58,53,47,47
104821,59,51,44,44
105758,59,51,44,44
106131,59,51,44,44
106665,59,51,44,44
108228,58,54,46,47
110334,58,54,46,47
117285,58,54,46,47
120000,59,52,44,44
120110,59,53,44,44
120465,58,54,47,47
120984,59,52,44,44
121263,59,53,44,44
121267,59,52,44,44
121310,59,52,44,44
121968,58,54,47,47
123468,59,53,44,44
123488,59,52,44,44
123573,58,54,47,47
123703,59,52,44,44
127716,58,54,47,47
128613,59,52,44,44
128614,59,52,44,44
128810,58,54,47,47
133447,58,54,47,47
133895,58,54,47,47
133903,59,52,44,44
133929,59,52,44,44
133941,59,52,44,44
133971,58,54,47,47
134354,59,53,44,44
134535,59,53,44,44
134681,59,52,44,44
134683,59,53,44,44
134728,59,52,44,44
134904,59,52,44,44
135633,58,54,47,47
137766,59,53,44,44
137785,59,52,44,44
137829,58,54,47,47
138226,59,52,44,44
140541,58,54,46,47
140578,58,54,46,47
142841,59,53,44,44
142867,59,51,44,44
142908,58,53,44,47
142919,58,53,44,47
144253,59,52,44,44
144273,59,51,44,44
144275,59,51,44,44
145033,59,53,44,44
145847,59,51,44,44
146012,59,51,44,44
146224,58,53,47,47
146225,58,53,47,47
146262,58,53,47,47
147298,59,53,42,44
147937,58,54,47,47
148847,59,51,44,44
148848,59,51,44,44
152399,59,52,44,44
153675,59,52,44,44
155637,59,53,44,44
155640,59,52,44,44
155850,58,54,47,47
156849,59,51,44,44
156915,58,53,44,47
156955,59,51,44,44
157408,59,51,44,44
157784,58,53,47,47
157785,58,53,47,47
157837,58,53,47,47
159596,59,51,44,44
159604,59,51,44,44
159678,58,53,44,47
160480,58,53,47,47
161200,59,51,44,44
161206,59,51,44,44
161350,58,53,47,47
161374,59,51,44,44
162059,58,53,47,47
164731,58,54,47,47
169114,59,53,44,44
169117,59,52,44,44
169133,59,52,44,44
169622,58,53,44,47
170011,58,54,47,47
171054,58,54,47,47
171145,59,53,44,44
171149,59,52,44,44
171172,59,52,44,44
172308,59,51,44,44
173107,58,54,46,47
173287,58,53,44,47
174703,59,51,44,44
176376,59,52,44,44
187692,59,51,44,44
189276,58,53,47,47
189285,59,51,44,44
189704,59,52,44,44
190244,59,51,44,44
190365,59,52,44,44
190764,59,51,44,44
