line,xor,penalty,greedy_or,budget
583,63,5,1000,1000
588,63,5,1000,1000
589,62,5,1000,1000
590,62,5,1000,1000
592,63,5,1000,1000
593,63,5,1000,1000
594,63,5,1000,1000
595,63,5,1000,1000
596,63,5,1000,1000
597,63,5,1000,1000
598,63,5,1000,1000
599,63,5,1000,1000
600,63,5,1000,1000
602,63,5,1000,1000
606,63,5,1000,1000
607,62,5,1000,1000
608,62,5,1000,1000
611,63,5,1000,1000
612,63,5,1000,1000
613,63,5,1000,1000
614,63,5,1000,1000
615,63,5,1000,1000
616,63,5,1000,1000
617,63,5,1000,1000
618,63,5,1000,1000
619,63,5,1000,1000
620,63,5,1000,1000
625,62,5,1000,1000
626,62,5,1000,1000
629,62,5,1000,1000
642,63,5,1000,1000
643,63,5,1000,1000
646,63,3,1000,1000
651,63,3,1000,1000
655,63,3,1000,1000
662,63,5,1000,1000
663,63,5,1000,1000
666,63,3,1000,1000
671,63,3,1000,1000
675,63,3,1000,1000
688,63,5,1000,1000
690,63,5,1000,1000
691,63,5,1000,1000
699,63,5,1000,1000
700,62,5,1000,1000
701,62,5,1000,1000
703,63,5,1000,1000
704,63,5,1000,1000
705,63,5,1000,1000
706,63,5,1000,1000
707,63,5,1000,1000
708,63,5,1000,1000
709,63,5,1000,1000
710,63,5,1000,1000
711,63,5,1000,1000
713,63,5,1000,1000
714,63,5,1000,1000
719,63,5,1000,1000
720,62,5,1000,1000
721,62,5,1000,1000
723,63,5,1000,1000
724,63,5,1000,1000
725,63,5,1000,1000
726,63,5,1000,1000
727,63,5,1000,1000
728,63,5,1000,1000
729,63,5,1000,1000
730,63,5,1000,1000
731,63,5,1000,1000
732,63,5,1000,1000
734,63,5,1000,1000
738,63,5,1000,1000
739,62,5,1000,1000
740,62,5,1000,1000
742,63,5,1000,1000
744,63,5,1000,1000
745,63,5,1000,1000
746,63,5,1000,1000
747,63,5,1000,1000
748,63,5,1000,1000
749,63,5,1000,1000
750,63,5,1000,1000
751,63,5,1000,1000
752,63,5,1000,1000
753,63,5,1000,1000
758,62,5,1000,1000
759,62,5,1000,1000
776,63,5,1000,1000
777,63,5,1000,1000
780,63,3,1000,1000
785,63,3,1000,1000
789,63,3,1000,1000
804,63,3,1000,1000
814,63,3,1000,1000
819,63,3,1000,1000
932,63,3,1000,1000
936,62,3,1000,1000
940,62,3,1000,1000
947,63,3,1000,1000
954,63,3,1000,1000
957,63,3,1000,1000
961,63,3,1000,1000
965,63,3,1000,1000
969,63,3,1000,1000
973,63,3,1000,1000
981,63,3,1000,1000
985,63,3,1000,1000
1009,63,3,1000,1000
1068,63,3,1000,1000
1071,62,3,1000,1000
1074,62,3,1000,1000
1080,63,3,1000,1000
1088,63,3,1000,1000
1091,63,3,1000,1000
1094,63,3,1000,1000
1100,63,3,1000,1000
1103,63,3,1000,1000
1110,63,3,1000,1000
1114,63,3,1000,1000
1217,62,3,1000,1000
1218,62,3,1000,1000
1242,62,3,1000,1000
1246,62,3,1000,1000
1285,63,3,1000,1000
1286,63,3,1000,1000
1294,63,3,1000,1000
1295,63,3,1000,1000
1302,63,3,1000,1000
1303,63,3,1000,1000
1308,63,3,1000,1000
1309,63,3,1000,1000
1337,63,5,1000,1000
1338,62,5,1000,1000
1339,62,5,1000,1000
1341,63,5,1000,1000
1342,63,5,1000,1000
1343,63,5,1000,1000
1344,63,5,1000,1000
1345,63,5,1000,1000
1346,63,5,1000,1000
1347,63,5,1000,1000
1348,63,5,1000,1000
1350,63,5,1000,1000
1351,63,5,1000,1000
1356,63,5,1000,1000
1357,62,5,1000,1000
1358,62,5,1000,1000
1361,63,5,1000,1000
1362,63,5,1000,1000
1363,63,5,1000,1000
1364,63,5,1000,1000
1365,63,5,1000,1000
1366,63,5,1000,1000
1367,63,5,1000,1000
1368,63,5,1000,1000
1369,63,5,1000,1000
1371,63,5,1000,1000
1375,63,5,1000,1000
1376,62,5,1000,1000
1377,62,5,1000,1000
1379,63,5,1000,1000
1380,63,5,1000,1000
1381,63,5,1000,1000
1382,63,5,1000,1000
1383,63,5,1000,1000
1384,63,5,1000,1000
1385,63,5,1000,1000
1386,63,5,1000,1000
1387,63,5,1000,1000
1388,63,5,1000,1000
1393,62,5,1000,1000
1394,62,5,1000,1000
1397,62,5,1000,1000
1440,63,5,1000,1000
1441,62,5,1000,1000
1442,62,5,1000,1000
1444,63,5,1000,1000
1445,63,5,1000,1000
1446,63,5,1000,1000
1447,63,5,1000,1000
1448,63,5,1000,1000
1449,63,5,1000,1000
1450,63,5,1000,1000
1452,63,5,1000,1000
1454,63,5,1000,1000
1455,63,5,1000,1000
1460,63,5,1000,1000
1461,62,5,1000,1000
1462,62,5,1000,1000
1465,63,5,1000,1000
1466,63,5,1000,1000
1467,63,5,1000,1000
1468,63,5,1000,1000
1469,63,5,1000,1000
1470,63,5,1000,1000
1471,63,5,1000,1000
1472,63,5,1000,1000
1473,63,5,1000,1000
1474,63,5,1000,1000
1476,63,5,1000,1000
1480,63,5,1000,1000
1481,62,5,1000,1000
1482,62,5,1000,1000
1484,63,5,1000,1000
1485,63,5,1000,1000
1486,63,5,1000,1000
1487,63,5,1000,1000
1488,63,5,1000,1000
1489,63,5,1000,1000
1490,63,5,1000,1000
1491,63,5,1000,1000
1492,63,5,1000,1000
1493,63,5,1000,1000
1494,63,5,1000,1000
1499,62,5,1000,1000
1500,62,5,1000,1000
1885,63,0,47,236
1886,63,0,47,236
1892,63,0,47,236
1893,63,0,47,236
1898,63,3,1000,1000
1899,63,0,47,236
1900,63,0,47,236
1901,63,0,47,236
1902,63,3,1000,1000
1903,63,3,1000,1000
1904,63,3,1000,1000
1905,63,3,1000,1000
1906,63,3,1000,1000
1907,63,3,1000,1000
1908,63,4,1000,1000
1909,63,4,1000,1000
1910,63,4,1000,1000
1911,63,4,1000,1000
1912,63,0,47,236
1913,63,0,47,236
1919,63,0,47,236
1920,63,0,47,236
1925,63,3,1000,1000
1926,63,0,47,236
1927,63,0,47,236
1928,63,3,1000,1000
1929,63,3,1000,1000
1930,63,3,1000,1000
1931,63,3,1000,1000
1932,63,3,1000,1000
1933,63,3,1000,1000
1934,63,4,1000,1000
1935,63,4,1000,1000
1936,63,4,1000,1000
1937,63,4,1000,1000
2077,63,3,1000,1000
2096,63,3,1000,1000
2189,63,3,1000,1000
2202,63,3,1000,1000
2270,63,0,47,236
2276,63,0,47,236
2277,63,0,47,236
2282,63,3,1000,1000
2283,63,0,47,236
2284,63,0,47,236
2285,63,3,1000,1000
2286,63,0,47,236
2287,63,3,1000,1000
2288,63,3,1000,1000
2289,63,3,1000,1000
2290,63,3,1000,1000
2291,63,3,1000,1000
2292,63,4,1000,1000
2293,63,4,1000,1000
2294,63,4,1000,1000
2295,63,4,1000,1000
2296,63,0,47,236
2297,63,0,47,236
2302,63,3,1000,1000
2303,63,0,47,236
2304,63,0,47,236
2305,63,3,1000,1000
2306,63,3,1000,1000
2307,63,3,1000,1000
2308,63,3,1000,1000
2309,63,3,1000,1000
2310,63,3,1000,1000
2311,63,4,1000,1000
2312,63,4,1000,1000
2313,63,4,1000,1000
2314,63,4,1000,1000
2399,63,3,1000,1000
2414,63,3,1000,1000
2481,63,0,47,236
2484,63,3,1000,1000
2485,63,0,47,236
2486,63,0,47,236
2487,63,3,1000,1000
2488,63,3,1000,1000
2489,63,0,47,236
2490,63,3,1000,1000
2491,63,3,1000,1000
2492,63,3,1000,1000
2493,63,3,1000,1000
2494,63,4,1000,1000
2495,63,4,1000,1000
2496,63,4,1000,1000
2497,63,4,1000,1000
2500,63,3,1000,1000
2501,63,0,47,236
2502,63,0,47,236
2503,63,3,1000,1000
2504,63,3,1000,1000
2505,63,3,1000,1000
2506,63,3,1000,1000
2507,63,3,1000,1000
2508,63,3,1000,1000
2509,63,4,1000,1000
2510,63,4,1000,1000
2511,63,4,1000,1000
2512,63,4,1000,1000
2554,63,0,47,236
2640,63,3,1000,1000
2644,63,3,1000,1000
2721,63,3,1000,1000
2723,63,3,1000,1000
2793,63,3,1000,1000
2794,63,3,1000,1000
2812,63,3,1000,1000
2813,63,3,1000,1000
2839,63,5,1000,1000
2849,63,5,1000,1000
2854,63,5,1000,1000
2964,63,5,1000,1000
2968,62,5,1000,1000
2972,62,5,1000,1000
2979,63,5,1000,1000
2986,63,5,1000,1000
2989,63,5,1000,1000
2993,63,5,1000,1000
2997,63,5,1000,1000
3001,63,5,1000,1000
3005,63,5,1000,1000
