line,xor,penalty,greedy_or,budget
33119,63,5,1000,1000
33125,63,5,1000,1000
33126,63,5,1000,1000
33141,63,5,1000,1000
33142,63,5,1000,1000
33720,63,5,1000,1000
33730,63,5,1000,1000
33731,63,5,1000,1000
33737,63,5,1000,1000
33738,63,5,1000,1000
33753,63,5,1000,1000
33754,63,5,1000,1000
33757,63,5,1000,1000
33767,63,5,1000,1000
33768,63,5,1000,1000
33774,63,5,1000,1000
33775,63,5,1000,1000
33790,63,5,1000,1000
33791,63,5,1000,1000
34140,63,5,1000,1000
34146,63,5,1000,1000
34147,63,5,1000,1000
34164,63,5,1000,1000
34168,63,5,1000,1000
34179,63,5,1000,1000
34180,63,5,1000,1000
34197,63,5,1000,1000
34377,63,5,1000,1000
34379,63,5,1000,1000
34407,63,5,1000,1000
37709,63,3,1000,1000
40388,63,3,1000,1000
40447,63,3,1000,1000
40448,63,5,1000,1000
40450,63,3,1000,1000
40455,62,3,1000,1000
40468,63,3,1000,1000
40469,63,3,1000,1000
40472,63,3,1000,1000
40534,63,3,1000,1000
40535,63,5,1000,1000
40537,63,3,1000,1000
40542,62,3,1000,1000
40556,63,3,1000,1000
40557,63,3,1000,1000
40659,63,3,1000,1000
40705,63,3,1000,1000
40750,63,3,1000,1000
40806,63,3,1000,1000
40852,63,3,1000,1000
40900,63,3,1000,1000
41026,63,3,1000,1000
41075,63,3,1000,1000
41755,63,3,1000,1000
41802,63,3,1000,1000
41858,61,3,1000,1000
41859,61,3,1000,1000
41861,63,3,1000,1000
41863,63,3,1000,1000
41864,63,3,1000,1000
41901,62,3,1000,1000
41906,62,3,1000,1000
42011,63,3,1000,1000
42018,62,3,1000,1000
42019,62,3,1000,1000
42030,61,3,1000,1000
42045,63,3,1000,1000
44634,63,3,1000,1000
44635,62,3,1000,1000
44636,62,3,1000,1000
44639,63,3,1000,1000
44640,63,3,1000,1000
44641,63,3,1000,1000
44642,63,3,1000,1000
44643,61,3,1000,1000
44644,63,3,1000,1000
44645,63,3,1000,1000
44646,63,3,1000,1000
44647,63,3,1000,1000
44649,63,3,1000,1000
44650,63,3,1000,1000
44651,62,3,1000,1000
44652,62,3,1000,1000
44654,63,3,1000,1000
44655,63,3,1000,1000
44656,63,3,1000,1000
44657,61,3,1000,1000
44658,63,3,1000,1000
44659,63,3,1000,1000
44660,63,3,1000,1000
44661,63,3,1000,1000
44663,63,3,1000,1000
44664,63,3,1000,1000
46317,63,5,1000,1000
46318,63,5,1000,1000
46322,63,3,1000,1000
46610,63,3,1000,1000
46611,62,3,1000,1000
46612,62,3,1000,1000
46615,63,3,1000,1000
46616,63,3,1000,1000
46617,63,3,1000,1000
46618,63,3,1000,1000
46619,63,3,1000,1000
46620,61,3,1000,1000
46621,63,3,1000,1000
46622,63,3,1000,1000
46623,63,3,1000,1000
46624,63,3,1000,1000
46626,63,3,1000,1000
46627,62,3,1000,1000
46628,62,3,1000,1000
46630,63,3,1000,1000
46631,63,3,1000,1000
46632,63,3,1000,1000
46633,61,3,1000,1000
46634,63,3,1000,1000
46635,63,3,1000,1000
46636,63,3,1000,1000
46637,63,3,1000,1000
46639,63,3,1000,1000
46640,63,3,1000,1000
47597,62,3,1000,1000
47599,62,3,1000,1000
47610,61,3,1000,1000
48548,63,3,1000,1000
48549,62,3,1000,1000
48550,62,3,1000,1000
48553,63,3,1000,1000
48554,63,3,1000,1000
48555,63,3,1000,1000
48556,63,3,1000,1000
48557,63,3,1000,1000
48558,61,3,1000,1000
48559,63,3,1000,1000
48560,63,3,1000,1000
48561,63,3,1000,1000
48562,63,3,1000,1000
48564,63,3,1000,1000
48565,62,3,1000,1000
48566,62,3,1000,1000
48569,63,3,1000,1000
48570,63,3,1000,1000
48571,63,3,1000,1000
48572,63,3,1000,1000
48573,61,3,1000,1000
48574,63,3,1000,1000
48575,63,3,1000,1000
48576,63,3,1000,1000
48577,63,3,1000,1000
48579,63,3,1000,1000
49139,63,5,1000,1000
49140,63,5,1000,1000
49144,63,3,1000,1000
49488,62,3,1000,1000
49491,62,3,1000,1000
49502,61,3,1000,1000
49523,62,3,1000,1000
49528,62,3,1000,1000
49539,61,3,1000,1000
